"","State","CI.LB","Estimate","CI.UB","Sample.Size"
"1","MO","81.9","83.3","84.7","5907"
"2","MI","85.3","86.3","87.3","9440"
"3","UT","81.2","82.2","83.3","10936"
"4","GA","75.1","76.8","78.5","5145"
"5","WV","79.4","80.8","82.2","4656"
"6","RI","83.3","84.8","86.3","4897"
"7","OK","80.8","82","83.2","6943"
"8","ND","85","86.5","88","4431"
"9","US",NA,"82.9",NA,"53"
"10","PR","90.8","91.7","92.6","5934"
"11","MT","80.1","81.2","82.4","7359"
"12","TN","80.6","82","83.4","6108"
"13","DC","89.8","91.4","93","3608"
"14","CT","88.2","89.2","90.2","8020"
"15","DE","87.1","88.5","89.9","4748"
"16","AK","80.3","81.9","83.6","3622"
"17","TX","68","69.4","70.9","7182"
"18","KY","81.7","82.9","84.1","9725"
"19","MA","93.7","94.2","94.7","20690"
"20","ME","86.2","87.1","88","8881"
"21","IL","81.5","83.2","84.9","5030"
"22","CA","77.6","78.6","79.6","12277"
"23","NC","78","79","80","9933"
"24","CO","80.8","81.8","82.9","10694"
"25","AL","79.5","80.9","82.3","7906"
"26","AR","73.1","75","76.8","4368"
"27","NM","76.6","77.8","79","7317"
"28","AZ","78.4","80.1","81.8","6366"
"29","MN","88.1","88.9","89.7","11159"
"30","WA","81.3","82.2","83.1","13500"
"31","FL","76.5","78.1","79.7","6503"
"32","MS","75.9","77.4","78.9","6584"
"33","OH","84.5","85.4","86.4","11603"
"34","NV","72.6","74.5","76.4","3987"
"35","KS","81.9","83","84.1","10540"
"36","PA","86.1","86.9","87.7","17933"
"37","IN","80.8","82","83.2","7481"
"38","LA","76.9","78.4","79.9","7542"
"39","IA","88","89","90.1","6601"
"40","VT","89","90.1","91.2","5610"
"41","SC","77.3","78.4","79.6","10826"
"42","NE","84.4","85.2","86","17159"
"43","OR","79.4","81","82.6","4627"
"44","GU","72.8","75.3","77.9","1581"
"45","WY","77.4","79.3","81.2","5486"
"46","NJ","83.8","84.6","85.5","13828"
"47","UW",NA,"82.9",NA,"51"
"48","HI","88.5","89.6","90.8","6864"
"49","ID","78.7","80.7","82.7","5137"
"50","SD","87.4","88.5","89.7","7160"
"51","MD","85.6","86.8","88.1","11876"
"52","WI","86.4","87.9","89.3","4796"
"53","NH","85.7","87","88.2","6805"
"54","VA","83.3","84.5","85.8","6647"
"55","NY","83.2","84.7","86.2","5370"
